Unknown command: 'runsererr'. Did you mean runserver?
Type 'manage.py help' for usage.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
[14/Aug/2022 13:44:31] "GET / HTTP/1.1" 200 5589
Not Found: /maindesign.jpg
[14/Aug/2022 13:44:32] "GET /maindesign.jpg HTTP/1.1" 404 2831
[14/Aug/2022 13:45:03] "GET / HTTP/1.1" 200 5765
[14/Aug/2022 13:47:17] "GET / HTTP/1.1" 200 5794
[14/Aug/2022 13:47:17] "GET /static/style.css HTTP/1.1" 200 0
[14/Aug/2022 13:47:19] "GET / HTTP/1.1" 200 5794
[14/Aug/2022 13:47:20] "GET / HTTP/1.1" 200 5794
[14/Aug/2022 13:47:48] "GET / HTTP/1.1" 200 5821
[14/Aug/2022 13:47:49] "GET / HTTP/1.1" 200 5821
[14/Aug/2022 13:48:46] "GET / HTTP/1.1" 200 5864
[14/Aug/2022 13:48:47] "GET / HTTP/1.1" 200 5864
[14/Aug/2022 13:49:28] "GET / HTTP/1.1" 200 5899
[14/Aug/2022 13:49:29] "GET / HTTP/1.1" 200 5899
[14/Aug/2022 13:49:55] "GET / HTTP/1.1" 200 5958
[14/Aug/2022 13:49:56] "GET / HTTP/1.1" 200 5958
[14/Aug/2022 13:49:57] "GET / HTTP/1.1" 200 5958
[14/Aug/2022 13:51:20] "GET / HTTP/1.1" 200 6011
[14/Aug/2022 13:51:43] "GET / HTTP/1.1" 200 5985
[14/Aug/2022 13:55:33] "GET / HTTP/1.1" 200 5800
[14/Aug/2022 13:57:12] "GET / HTTP/1.1" 200 5589
[14/Aug/2022 13:57:12] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[14/Aug/2022 14:06:15] "GET / HTTP/1.1" 200 5659
[14/Aug/2022 14:06:15] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
Not Found: /workspace/jhserver/templates/jhpy/maindesign.jpg
[14/Aug/2022 14:06:15] "GET /workspace/jhserver/templates/jhpy/maindesign.jpg HTTP/1.1" 404 2933
[14/Aug/2022 14:06:15] "GET /static/style.css HTTP/1.1" 200 0
[14/Aug/2022 14:06:16] "GET / HTTP/1.1" 200 5659
Not Found: /workspace/jhserver/templates/jhpy/maindesign.jpg
[14/Aug/2022 14:06:16] "GET /workspace/jhserver/templates/jhpy/maindesign.jpg HTTP/1.1" 404 2933
[14/Aug/2022 14:10:04] "GET / HTTP/1.1" 200 5692
[14/Aug/2022 14:10:05] "GET /static/style.css HTTP/1.1" 200 0
[14/Aug/2022 14:10:09] "GET / HTTP/1.1" 200 5692
[14/Aug/2022 14:10:21] "GET / HTTP/1.1" 200 5683
[14/Aug/2022 14:10:31] "GET / HTTP/1.1" 200 5673
[14/Aug/2022 14:10:38] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:10:38] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:11:13] "GET / HTTP/1.1" 200 5673
[14/Aug/2022 14:11:13] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:11:13] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:12:32] "GET / HTTP/1.1" 200 5800
[14/Aug/2022 14:12:32] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[14/Aug/2022 14:12:32] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:12:32] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:13:42] "GET / HTTP/1.1" 200 5827
[14/Aug/2022 14:13:42] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:13:42] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:13:59] "GET / HTTP/1.1" 200 5854
[14/Aug/2022 14:13:59] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:13:59] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:14:19] "GET / HTTP/1.1" 200 5854
[14/Aug/2022 14:14:19] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:14:20] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:14:44] "GET / HTTP/1.1" 200 5854
[14/Aug/2022 14:14:44] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:14:44] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:14:55] "GET / HTTP/1.1" 200 5827
[14/Aug/2022 14:14:55] "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1798
[14/Aug/2022 14:14:55] "GET /static/bootstrap.min.css.map HTTP/1.1" 404 1801
[14/Aug/2022 14:16:02] "GET / HTTP/1.1" 200 5854
[14/Aug/2022 14:16:25] "GET / HTTP/1.1" 200 5866
[14/Aug/2022 14:16:26] "GET / HTTP/1.1" 200 5866
[14/Aug/2022 14:16:40] "GET / HTTP/1.1" 200 5867
[14/Aug/2022 14:16:55] "GET / HTTP/1.1" 200 5987
[14/Aug/2022 14:17:58] "GET / HTTP/1.1" 200 6004
[14/Aug/2022 14:17:59] "GET / HTTP/1.1" 200 6004
[14/Aug/2022 14:18:00] "GET / HTTP/1.1" 200 6004
[14/Aug/2022 14:18:49] "GET / HTTP/1.1" 200 5995
[14/Aug/2022 14:18:55] "GET / HTTP/1.1" 200 5994
